"","X","Longitude","Latitude","wkd_day_value","wnd_day_value","wkd_night_value","wnd_night_value","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","mean_value","Countrycode","AirQualityStation","Altitude","MeasurementType","AirQualityStationType","AirQualityStationArea","EquivalenceDemonstrated","MeasurementEquipment","InletHeight","BuildingDistance","KerbDistance","rf10f_pre","xgb10f_pre","lasso10f_pre","rf_all_pre","xgb_all_pre","lasso_all_pre","urbantype","urbantype_chara","Bui_500","Bui_200","rooftotal","ID","svfmin5m"
"45",45,4.988614,52.203056,35.5425731809311,28.4224369747899,30.5160029498525,26.2773736128237,2.872685,4.677339,3.167366,3.615186,4.06159,-0.62574,0,0,0,62475,0,194565,0,0,715.780273,9292.162109,25439.029297,3950.280762,25.002851,0,15200.027344,1100.109375,26023.841797,1938.258057,0,0,0,0,7297.395508,0,14394.691406,0,0,1351.43042,0,0,47107.355469,0,114887.140625,0,0,13.605897,7.485703,4.784649,1.506113,4.955313,8.193071,8.517749,14.652699,18.085096,18.065481,17.692694,14.154434,519.747498,4.778383,3.660365,4.435605,3.386763,4.421027,4.025136,3.495096,3.337251,3.852603,3.281491,3.045871,3.401156,32.1071543658753,"NL","STA-NL00641",-1,"automatic","traffic","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,200,5,13.5512338808663,18.9284629821777,13.5512338808663,27.3234290962219,30.6419315338135,14.2568340548951,2,"suburban",0.321058987777246,0.305937239059053,NA,"B45",0.855397868808341
"46",46,4.98889446,52.32138824,24.4917895908712,18.2918282548476,21.3509891196835,19.8713064713065,2.857752,16.440054,18.300318,19.639275,17.286222,-1.323043,510,0,0,645915,0,1620015,0,0,7463.692383,57789.742188,133839.6875,5416.173828,0,0,51166.179688,0,125573.773438,0,0,1784.170532,0,0,5480.975098,0,19932.46875,0,0,14562.819336,0,0,122431.320312,278.920288,297044.8125,3805.340332,0,13.662327,7.739744,4.969923,1.714728,4.858106,8.084886,8.523348,14.490685,17.860992,17.95211,17.603809,14.222048,564.648682,5.222086,4.023096,4.761817,3.638339,4.724012,4.202223,3.768077,3.512677,4.08393,3.488545,3.252726,3.612719,22.1229889271016,"NL","STA-NL00021",-3,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo42i",2,-999,340,24.3707392395664,24.9043579101562,24.3707392395664,23.0381441307068,22.8045215606689,24.5180849644087,3,"urban",0.505883789691824,0.529803800219127,7442.64,"B46",0.631577977033117
"47",47,5.050842,52.804722,12.1550473537604,9.68737623762375,13.2792200695479,11.9686072772898,2.913938,25.309149,26.328239,44.947803,38.409847,-4.332134,0,0,0,923355,0,3237990,0,0,92.601936,1271.798462,5419.04834,0,0,0,13604.116211,0,24086.828125,0,0,1919.492065,0,0,6775.413574,2.238139,25424.064453,792.010742,0,22.731842,0,0,6026.286133,0,37387.589844,0,0,13.891914,8.758668,5.714123,2.795373,4.600059,7.937703,8.633113,13.870496,17.196478,17.698421,17.728174,14.767349,383.155579,7.854434,6.409105,7.108194,5.553333,7.063876,5.776276,5.765654,5.088363,5.799502,5.103355,4.864002,5.200004,11.934918732877,"NL","STA-NL00538",-4,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,13.2416004558364,18.0249004364014,13.2416004558364,14.159851521492,12.9313821792603,12.6603154360955,1,"rural",0.332897792271368,0.225873306836684,5412.25,"B47",0.748838322345582
"48",48,5.121114,52.068889,34.2473509252914,26.5010571428571,27.839542662116,24.0341360294118,2.845459,19.403662,19.176796,24.078129,20.318928,5.198428,32130,0,0,163710,3060,1776585,3825,0,12526.786133,82014.40625,187574.359375,0,0,0,51971.710938,0,138998.265625,0,0,5549.549805,0,0,22268.488281,0,53884.691406,621.599976,0,41025.976562,617.785706,38.581623,230673.84375,4761.165039,536490.3125,14641.682617,128.087494,13.508327,7.275199,4.651297,1.360006,4.973915,8.217446,8.47564,14.739794,18.201656,18.101904,17.721916,14.081903,530.204224,4.52364,3.484558,4.24873,3.242079,4.243437,3.881096,3.322573,3.213344,3.693931,3.146148,2.917329,3.276981,30.2735106282736,"NL","STA-NL00639",1,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,15,1,36.4648167454452,36.9975166320801,36.4648167454452,31.5017703495026,30.2073402404785,35.1538548799813,3,"urban",0.0363903267514248,0.135422786126958,740.75,"B48",0.951996527639531
"49",49,5.125286,52.106111,31.834647534132,24.2064775910364,25.9355155155156,23.3815960099751,2.843657,17.677227,15.122632,18.533073,17.934633,4.701514,0,0,0,264435,0,1700595,0,0,13195.731445,88959.3125,190862.578125,0,0,0,28792.433594,0,86566.859375,0,0,4327.993164,0,0,25724.214844,1025.328125,67922.476562,2016.657959,0,40746.984375,522.281494,44.928219,284489,4191.137695,545634.5625,10684.705078,125.574585,13.506533,7.272558,4.649379,1.358456,4.973108,8.217106,8.474951,14.740758,18.202684,18.101759,17.722073,14.080992,510.362122,4.521235,3.483108,4.246492,3.240458,4.241413,3.878728,3.320598,3.211719,3.691851,3.144454,2.916042,3.275506,28.1720550144283,"NL","STA-NL00636",1,"automatic","traffic","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,48,1,33.1105294106116,26.4209175109863,33.1105294106116,29.0427249259949,27.835376739502,33.5292291326278,3,"urban",0.323338302029459,0.315170576898652,8769.79,"B49",0.753063873225292
"50",50,5.128333,52.102222,23.328289983398,17.2849519230769,22.3040977261733,20.3901813784764,2.843122,18.718441,15.916793,20.31621,19.684914,4.4338,0,0,0,208335,0,1588650,0,0,13772.165039,93014.851562,193264.671875,0,0,0,33136.523438,0,92295.0625,0,0,4029.277344,0,0,29431.689453,997.213623,66392.9375,1905.438965,0,39348.195312,261.56781,22.437513,287760.1875,3559.564697,548740.6875,10269.759766,36.683945,13.505337,7.270797,4.6481,1.357423,4.97257,8.216879,8.474491,14.741401,18.203371,18.101662,17.722176,14.080385,511.739655,4.519632,3.482142,4.245001,3.239377,4.240063,3.87715,3.319281,3.210635,3.690464,3.143324,2.915184,3.274522,21.6535028054337,"NL","STA-NL00643",2,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo49i",4,-999,-999,33.1665841762719,28.0685424804688,33.1665841762719,25.3005171337128,22.2281513214111,33.2227325453198,3,"urban",0.190705634482339,0.168812654743456,2978.44,"B50",1
"51",51,5.148903,51.519444,20.0341266741072,15.1771457765668,24.8374079528719,22.9570883054893,2.867759,0.860188,2.665431,1.490664,0.723946,15.409937,255,0,0,86700,255,193800,255,0,309.994659,4622.925781,25497.320312,0,0,0,16867.15625,0,50997.480469,0,0,0,0,0,1658.015503,0,9789.154297,0,0,2176.503662,17.853878,0,26836.611328,533.80957,138424.90625,968.255615,0,13.635092,7.020428,4.645087,1.13373,5.622196,8.680217,8.579741,15.38451,19.211618,18.530159,18.172525,14.239628,532.353149,3.894535,3.129035,3.908381,2.875861,3.709099,3.554244,2.850365,2.839905,3.355999,2.854745,2.505379,2.986965,20.5310031534608,"NL","STA-NL00230",15,"automatic","background","rural","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,14.082412858294,15.2747468948364,14.082412858294,19.1400556974411,19.2942218780518,14.3287286563388,2,"suburban",0.264776674971379,0.227689316359192,14822,"B51",0.776179273482422
"52",52,5.181553,52.235083,26.8008922651933,19.8271768707483,20.672692121798,18.940584725537,2.834839,13.545443,7.540556,9.177679,13.718459,8.812366,0,0,0,176715,0,362610,0,0,12118.663086,49642.585938,99868.234375,0,0,0,5805.509766,0,53882.871094,0,0,4069.646973,373.515747,129.080765,20797.050781,931.839966,41435.59375,1385.786865,211.709961,18693.46875,0,0,97505.523438,1263.639282,306741.9375,3509.721924,0,13.508951,7.369396,4.703598,1.440112,4.886052,8.153935,8.475697,14.689973,18.110664,18.029465,17.673866,14.093828,480.91806,4.713315,3.624001,4.357928,3.339679,4.374025,3.939403,3.453886,3.29993,3.79356,3.226488,3.005821,3.35338,23.2648695330948,"NL","STA-NL00547",1,"automatic","traffic","urban","","",3,34,3,33.9272867437118,26.0072803497314,33.9272867437118,24.5733000764847,23.2055530548096,32.851913646498,3,"urban",0.078092632833119,0.00737186758952806,689.51,"B52",0.693611823788166
"53",53,5.235903,52.257361,20.5189429994466,15.3487352328005,17.686472361809,16.7284779874214,2.8225,8.685398,5.726214,6.02149,9.017881,5.813065,0,0,0,39270,0,211905,0,0,4215.5625,18174.214844,77416.28125,1947.654053,0,0,37851.660156,0,70279.210938,0,0,0,0,0,3809.765625,0,21162.367188,0,0,35157.5625,274.924103,0,126032.867188,2553.072266,290933,7386.064453,20.760321,13.501191,7.374171,4.7071,1.445627,4.86431,8.128912,8.469929,14.70514,18.133661,18.028173,17.670031,14.098198,483.128662,4.759055,3.663867,4.388445,3.369054,4.413125,3.953418,3.494704,3.32761,3.823751,3.249667,3.030674,3.375379,18.4987470814074,"NL","STA-NL00549",1,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR",3,-999,-999,21.2683529511508,20.5240039825439,21.2683529511508,19.6959227676392,18.8671741485596,20.7412570771653,3,"urban",0.299736581855725,0.36570698858732,3888.06,"B53",0.637532133534155
"54",54,5.393333,51.4075,19.4779038087295,13.7987006802721,21.5138506876228,18.913843373494,2.883679,14.758615,8.614237,10.113261,14.935576,24.183809,33150,0,0,728280,0,2309790,0,0,6050.736328,32769.992188,72424.359375,0,0,0,23876.125,0,52102.1875,0,0,0,0,0,796.211487,0,4977.567871,0,0,25066.832031,265.934021,0,136688.0625,4009.974365,316023.96875,9268.519531,26.645222,13.640491,6.974407,4.637197,1.066445,5.661384,8.820127,8.66607,15.539751,19.362947,18.709236,18.331188,14.33935,547.483826,3.809342,3.085905,3.831571,2.824018,3.614154,3.477671,2.777293,2.781324,3.279349,2.785958,2.440423,2.924289,18.8271800473088,"NL","STA-NL00247",22,"automatic","background","urban","ref","http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/undetermined",3,-999,-999,24.5725876470185,26.8160037994385,24.5725876470185,21.0504117650986,20.1541957855225,24.328174770892,3,"urban",0.00221114161190182,0,0,"B54",1
