"","X.2","Longitude","Latitude","X.1","X","wkd_day_value","wnd_day_value","wkd_night_value","wnd_night_value","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","trop_mean_filt","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","mean_value","Countrycode","AirQualityStation","Altitude","MeasurementType","AirQualityStationType","AirQualityStationArea","EquivalenceDemonstrated","MeasurementEquipment","InletHeight","BuildingDistance","KerbDistance","rf10f_pre","xgb10f_pre","lasso10f_pre","rf_all_pre","xgb_all_pre","lasso_all_pre"
"397",399,12.157051,48.539801,4360,4449,31.9460242959691,23.3513673469388,24.9367211538462,21.9936190476191,3.215408,18.7901,6.665506,12.514442,17.34453,394.668945,9690,0,0,1043715,0,1535865,4845,0,7565.385742,47089.46875,67828.679688,0,0,0,9350.012695,0,26828.123047,0,0,684.870239,0,0,12782.658203,0,20226.650391,0,0,25431.765625,399.882446,42.671234,201315.90625,1821.612305,329658.65625,7576.668457,96.260437,11.091996,4.323189,1.341552,-4.515304,3.041576,7.563756,8.073198,14.658694,19.801514,19.731819,19.999092,13.097794,337.013489,2.767659,2.526081,2.77776,2.516002,2.483976,2.812371,2.492264,2.146438,2.271103,2.341854,1.84923,1.870615,27.6922169624722,"DE","STA.DE_DEBY033",390,"passive","traffic","urban","inprogress","",3.5,9,4,21.8385112741018,23.4465217590332,21.8385112741018,26.486814166069,27.2631072998047,22.0316783458646
"398",400,12.159361,49.67895,4549,4639,26.6540066042927,19.1167891156463,24.5878269230769,21.8612261904762,3.050904,15.0069,2.772405,5.530047,13.256359,403.223206,23715,0,0,138210,0,197880,0,0,5705.979004,26610.363281,36698.996094,0,0,0,14923.175781,0,27397.574219,0,0,0,0,0,15339.767578,0,23306.585938,0,0,31441.65625,467.826172,44.356407,153715.1875,4522.55127,247517.375,11269.731445,157.053284,10.199467,3.590853,0.547533,-5.253189,1.463466,6.146651,6.993796,14.017276,18.333216,18.514008,18.841379,12.185849,270.128418,2.897509,2.542663,2.888014,2.640776,2.756129,2.834257,2.60386,2.080933,2.441337,2.388549,2.101116,2.057552,24.2699433096119,"DE","STA.DE_DEBY075",400,"automatic","background","urban","ref","",3.5,-999,-999,21.8186024588663,19.0309867858887,21.8186024588663,23.1831345438957,23.6111660003662,22.1489359680059
"399",401,12.174105,54.161555,4499,4589,10.4958471760798,8.91428571428572,11.3991550695825,9.98339483394834,2.884031,0.332586,5.639098,3.645118,0.555299,3.586873,0,0,0,659175,0,1540200,0,0,148.514313,6984.412598,28969.794922,0,0,0,0,0,14479.131836,0,0,0,0,0,0,0,5540.425781,0,0,2989.521729,76.7575,0,21341.65625,686.070251,83600.921875,1335.151978,0,11.892605,6.146359,3.576029,0.233532,2.011442,5.867476,7.083945,13.113375,16.533981,16.905684,17.66049,13.923629,288.84613,5.071567,4.493559,5.160644,3.841804,4.487563,3.932327,4.521381,3.754393,4.464295,3.448851,3.778504,3.86019,10.3608656968452,"DE","STA.DE_DEMV007",5,"automatic","background","suburban","ref","",3.5,-999,-999,11.825799675762,10.6608085632324,11.825799675762,10.6049411158562,9.97749900817871,11.87768259999
"400",402,12.175512,53.78175,4572,4662,8.92293046357613,6.29113837764145,7.53206333498267,6.63289630512515,2.84363,4.942151,1.555786,2.914992,5.226656,19.630917,0,0,0,11220,0,121635,0,0,3073.144043,14965.46875,21031.058594,0,0,0,0,0,0,0,0,0,0,0,11295.603516,0,18775.019531,0,0,19893.099609,430.728516,68.327576,82099.320312,2262.706055,128525.695312,5045.831055,81.733696,11.705895,5.720963,3.335575,-0.484752,1.881065,6.080145,7.185946,13.541678,16.685019,16.956522,17.657238,13.65446,245.224594,3.979333,3.40093,4.058105,2.922631,3.575271,3.228474,3.608851,3.102639,3.537515,2.782146,3.045283,3.055353,7.87237940149956,"DE","STA.DE_DEMV019",17,"automatic","background","urban","ref","",3.5,-999,-999,15.5531766459884,15.3536224365234,15.5531766459884,10.4778999738693,9.52245807647705,15.6920039387453
"401",403,12.188324,47.648459,4753,4843,39.4400330305534,38.0852993197279,30.3940817307692,29.4744642857142,3.254905,0.748099,0.592972,0.724599,0.898833,470.640411,21675,0,0,70890,0,188955,0,0,1016.000854,8098.334473,16920.951172,5141.397461,396.680298,29.758926,13330.331055,1505.543091,25486.142578,3128.249756,152.690186,539.28949,0,0,5059.849609,0,13958.287109,0,0,8146.691406,202.459442,37.518623,79196.6875,1252.689941,175895.109375,2449.563477,68.519325,8.273964,-0.35484,-4.186887,-7.587859,-0.235571,4.271932,4.457318,11.147054,16.015345,16.05986,16.940414,9.652904,224.478699,1.295832,1.19737,1.317602,1.224902,1.186624,1.367511,1.3076,1.216013,1.1499,1.153544,1.003765,1.021491,36.0790888004629,"DE","STA.DE_DEBY121",469,"automatic","traffic","rural-nearcity","ref","",3.5,10,1,15.1216596959742,12.3009376525879,15.1216596959742,28.278488199234,35.4253005981445,18.0065377314987
"402",404,12.205199,50.655861,4728,4818,15.625240077713,11.3039659863945,15.4481153846154,14.2329523809524,2.941128,14.837515,1.378014,2.886491,12.411133,272.710175,32895,0,0,179520,0,384540,7140,0,5817.40625,12318.980469,17676.119141,0,0,0,0,0,0,0,0,3302.489014,0,0,10633.518555,663.025391,19421.458984,1372.027954,0,31246.105469,637.245361,26.87109,88885.765625,4532.057617,154442.71875,10257.496094,162.162079,10.979668,4.599458,1.778006,-3.435363,2.194649,6.415935,6.825308,13.872878,17.955553,18.324766,18.57262,12.710156,280.180634,3.491378,2.989586,3.53567,2.770684,3.005338,2.974994,2.638048,2.145342,2.591709,2.50947,2.386482,2.464685,14.6273688765567,"DE","STA.DE_DETH036",265,"automatic","background","urban","ref","",3.8,-999,-999,20.1426496211503,16.6945953369141,20.1426496211503,15.8231083116531,14.879487991333,20.1817479645119
"403",405,12.211112,50.608136,4495,4585,8.69377869986169,6.30800680272108,9.40398076923077,8.44125000000001,2.959172,0.322547,0.910895,0.41711,0.204767,434.611481,0,0,0,72420,0,341955,0,0,211.681,5061.238281,16954.285156,0,0,0,0,0,0,0,0,0,0,0,2858.217529,0,11041.126953,0,0,6807.301758,212.852478,23.60603,67131.929688,2315.605469,190891.15625,3849.805176,93.416214,10.70203,4.333492,1.462463,-3.956459,1.853704,6.125893,6.621668,13.670139,17.749092,18.125099,18.35441,12.441688,283.652527,3.482416,2.987729,3.529828,2.802668,3.011376,2.993072,2.657408,2.164745,2.612052,2.528583,2.399523,2.477682,8.38439133598358,"DE","STA.DE_DESN093",430,"automatic","background","rural-regional","ref","",3.6,-999,-999,14.0268919689662,8.72762298583984,14.0268919689662,9.05598014354706,8.19635009765625,13.5881377378246
"404",406,12.244764,51.840576,4483,4573,21.5807407407407,14.3464081632653,16.393645983646,13.3061336515513,2.945206,16.260855,3.814235,6.032904,14.650441,64.866005,16575,0,0,871845,0,1513170,0,0,5998.451172,27487.574219,49473.914062,0,0,0,2100.274902,0,13027.608398,0,0,2933.46582,0,0,15918.148438,0,30821.296875,148.947693,0,33173.664062,877.50061,201.635803,135680.3125,4935.137695,237057.921875,12374.337891,438.252808,12.460157,6.189949,3.478701,-1.3656,2.890914,7.595939,8.480085,15.253991,19.044033,19.241507,19.539576,14.633494,342.194,3.418211,2.853683,3.314349,2.486525,3.032372,2.827342,3.002275,2.412192,2.766814,2.358466,2.389411,2.508178,18.1796922515143,"DE","STA.DE_DEST091",61,"passive","traffic","urban","ref","",3.5,21,3,23.0541751481061,20.7006301879883,23.0541751481061,19.4323444747925,18.9414348602295,23.3105134182768
"405",407,12.297411,51.317905,4657,4747,15.8323550624133,11.0065782312925,16.1455019305019,14.2871666666667,2.984425,16.510767,9.84396,11.477526,16.162788,122.326675,4080,0,0,441150,0,1083750,0,0,9169.855469,66855.421875,120872.445312,0,0,0,0,0,5771.45752,0,0,2519.287598,0,0,19076.255859,0,36002.253906,0,0,29065.417969,387.48233,35.040001,157704.03125,1870.61499,352409.5,6426.84668,111.566772,12.322396,5.962429,3.315894,-1.832974,3.096065,7.415813,8.146382,15.00193,19.316719,19.460377,19.671309,14.333565,419.927673,3.708938,3.190411,3.689354,2.726398,3.250573,3.041032,2.936454,2.375285,2.891409,2.540275,2.480636,2.606659,14.8405574540546,"DE","STA.DE_DESN059",115,"passive","background","urban","ref","",4,-999,-999,24.0410903700915,20.8452415466309,24.0410903700915,17.9200696325302,15.7002487182617,23.5578488645144
"406",408,12.302866,51.651166,4415,4504,14.6203090445138,10.9405131761443,15.8897642436149,13.8834671532847,2.966211,6.30092,5.597293,7.317171,7.238953,78.539421,307530,0,0,2512515,0,4626720,31365,0,2216.404053,13720.564453,34507.5,0,0,0,0,0,0,0,0,0,0,0,8353.366211,0,24826.275391,0,0,12674.142578,392.151184,33.226112,67247.578125,2874.324707,203246.03125,6472.245117,151.232544,12.385512,6.079909,3.425632,-1.391748,2.992313,7.419885,8.305594,15.146638,19.231312,19.321049,19.633255,14.52284,366.611267,3.449728,2.929524,3.36512,2.489486,3.06073,2.85548,2.890954,2.340136,2.736329,2.373225,2.377324,2.510357,14.1514713654457,"DE","STA.DE_DEST015",75,"passive","industrial","suburban","ref","",3.5,-999,-999,16.9157200816472,16.5055866241455,16.9157200816472,15.1333133640289,14.6436901092529,16.6878089175984
"407",409,12.334686,51.335872,4629,4719,46.4428824343017,32.9162040816327,29.0699807692308,24.0704047619048,2.975076,20.716051,16.556679,19.476917,21.079885,117.914246,10710,0,0,372300,765,1153110,765,0,10738.094727,71945.71875,194336.609375,0,0,0,3199.115723,0,9152.426758,0,0,3554.981445,200.038422,65.242722,23629.529297,865.399536,56029.394531,1677.631348,81.286789,33209.671875,285.272034,0,182526.734375,4008.052246,527432.5625,12159.479492,24.693077,12.267314,5.924255,3.277062,-1.870857,3.034132,7.347645,8.106095,14.973803,19.296696,19.416548,19.655355,14.297497,418.718964,3.684701,3.168631,3.660547,2.70857,3.238936,3.023958,2.939291,2.376922,2.887097,2.524951,2.475339,2.601674,37.5992549542624,"DE","STA.DE_DESN077",113,"automatic","traffic","urban","ref","",1.5,4,1,32.2151030547671,34.4874801635742,32.2151030547671,36.1203934640884,37.0967025756836,32.2151202384699
"408",410,12.377163,51.344164,4781,4871,49.0204220234769,36.905075136612,31.5723333333333,27.5136854741897,2.977058,64.157059,19.243578,28.576399,54.795475,111.771301,41565,0,0,284070,0,1181925,0,0,12926.804688,90937.695312,211750.46875,0,0,0,1466.80957,0,15209.774414,0,0,9164.943359,551.734009,128.189301,31095.310547,1358.831787,57390.261719,3156.387695,232.22258,30514.824219,657.692871,144.231812,278004.8125,2901.299316,615564.9375,6595.13916,340.957123,12.224589,5.892638,3.243571,-1.930051,2.984498,7.298907,8.077018,14.956503,19.292202,19.391073,19.654802,14.269599,412.652466,3.674341,3.160341,3.648967,2.704356,3.238277,3.017054,2.948522,2.385225,2.893518,2.521139,2.478577,2.603959,40.5101694474411,"DE","STA.DE_DESN025",110,"passive","traffic","urban","ref","",4,25,5,44.1748689828022,40.7869567871094,44.1748689828022,41.000502998352,40.4519882202148,45.2851126575244
