"","Longitude","Latitude","wkd_day_value","wnd_day_value","wkd_night_value","wnd_night_value","mean_value","radiation","nightlight_450","nightlight_4950","nightlight_3150","nightlight_900","elevation","industry_1000","industry_100","industry_25","industry_3000","industry_300","industry_5000","industry_500","industry_50","population_1000","population_3000","population_5000","road_class_1_1000","road_class_1_100","road_class_1_25","road_class_1_3000","road_class_1_300","road_class_1_5000","road_class_1_500","road_class_1_50","road_class_2_1000","road_class_2_100","road_class_2_25","road_class_2_3000","road_class_2_300","road_class_2_5000","road_class_2_500","road_class_2_50","road_class_3_1000","road_class_3_100","road_class_3_25","road_class_3_3000","road_class_3_300","road_class_3_5000","road_class_3_500","road_class_3_50","temperature_2m_10","temperature_2m_11","temperature_2m_12","temperature_2m_1","temperature_2m_2","temperature_2m_3","temperature_2m_4","temperature_2m_5","temperature_2m_6","temperature_2m_7","temperature_2m_8","temperature_2m_9","TROP_2018","wind_speed_10m_10","wind_speed_10m_11","wind_speed_10m_12","wind_speed_10m_1","wind_speed_10m_2","wind_speed_10m_3","wind_speed_10m_4","wind_speed_10m_5","wind_speed_10m_6","wind_speed_10m_7","wind_speed_10m_8","wind_speed_10m_9","trop_mean_filt_2019"
"3149",12.4633160834027,55.6319829648528,7.57318279569892,1.7686387434555,4.26688679245283,0.993536585365853,5.05370905065748,2.811113,15.817757,13.349371,14.765481,16.306221,4.905281,0,0,0,2530000,0,5488750,0,0,4731.324219,40122.242188,111806.085938,0,0,0,40190.972656,0,70017.460938,0,0,0,0,0,2500.290283,0,18202.25,0,0,44535.367188,377.014984,16.058077,244062.296875,4343.448242,538297.9375,13912.415039,80.799385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.879425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1862e-05
"3150",12.463929,53.396348,6.46126350789691,5.51027210884355,7.09057255676208,6.72035714285714,6.45463336113657,2.866064,0.196822,0.084485,0.11365,0.132466,113.356522,0,0,0,0,0,5000,0,0,10.33016,464.207031,1247.180664,0,0,0,11740.138672,0,21393.017578,0,0,0,0,0,0,0,6851.92627,0,0,236.799149,0,0,8752.87793,0,39903.886719,0,0,11.58765,5.63833,3.117495,-1.00824,1.532387,6.202877,7.188581,13.630024,16.841038,17.196795,17.851221,13.626399,272.03479,4.147471,3.56787,4.256596,3.086948,3.706082,3.289117,3.704515,3.130973,3.562437,2.816807,3.08562,3.217969,3.40148e-05
"3151",12.46806,43.06694,12.3627417998318,9.94979564032697,12.5196566998893,12.1531335149864,11.9205310042402,4.158452,0.938795,6.165842,5.790654,1.453958,301.085327,0,0,0,1331875,0,3306250,0,0,163.389053,4541.767578,23189.238281,0,0,0,16989.765625,0,51776.828125,0,0,0,0,0,0,0,0,0,0,3427.848145,192.46521,53.665443,45997.34375,609.307495,154837.59375,1018.703003,108.934113,14.604266,9.190853,5.008106,1.936141,7.695472,10.067314,12.616363,17.271044,23.810465,24.866453,26.77681,17.438866,208.228516,1.621939,2.165599,2.311816,2.697678,2.406824,2.216306,2.172084,1.903155,1.994613,1.834323,1.8277,1.994374,3.36515e-05
"3152",12.468739,50.354783,13.7343338907469,11.4503678474114,10.2540503875969,8.02539285714285,11.9269451404469,2.86137,5.712283,0.836607,1.086679,4.146791,548.593506,0,0,0,0,0,13750,0,0,2210.366455,6285.513184,11663.733398,0,0,0,0,0,0,0,0,2018.326294,147.265915,0,6427.277344,580.208252,11355.044922,989.359741,4.614341,15529.416016,320.670258,31.054502,62861.632812,2207.747559,148978.9375,4864.978027,137.126099,8.729955,2.483113,-0.6794,-6.326581,0.21731,4.279291,4.850927,12.018596,16.18775,16.392324,16.671509,10.526053,228.639542,3.364243,2.899197,3.420835,2.825364,3.004043,2.96737,2.809905,2.25009,2.684649,2.552431,2.334771,2.412029,3.3515e-05
"3153",12.46944,41.86417,68.813507504169,55.1076294277929,53.7197802197802,52.4816824966079,61.0537075640466,4.39158,61.225403,61.033958,62.232185,62.151382,28.141516,8750,0,0,170625,0,761250,0,0,37235.714844,265579.4375,557442.25,0,0,0,14800.296875,0,25523.431641,0,0,3871.943848,377.66214,68.517853,42721.527344,1158.999756,82259.796875,1922.919189,154.674225,41240.007812,823.778076,156.729736,365356.09375,5822.985352,857254.5,13406.985352,310.608948,16.748228,11.887077,8.057162,5.644679,10.243904,11.930927,13.996855,18.808758,24.121151,25.744265,27.112457,19.715597,435.198334,2.128867,2.768202,3.337908,3.150719,2.670442,2.833589,2.704327,2.293265,2.350158,2.394712,2.276793,2.486689,7.63619e-05
"3154",12.46972,41.9475,71.4534559643255,54.6543967280164,47.0078037904125,46.8005464480874,60.0853456382647,4.365622,58.356361,45.219429,43.63401,53.909626,44.543575,0,0,0,470625,0,721250,0,0,19002.402344,76470.164062,363204.59375,3549.475342,0,0,23509.458984,0,69694.328125,0,0,4678.515625,593.868469,167.681259,32626.480469,1644.779297,77093.171875,2572.918457,304.220306,31384.359375,809.105591,40.281288,174941.1875,5605.100586,633232.25,14388.456055,172.770065,16.401125,11.391275,7.433357,4.983194,9.837034,11.68679,13.806411,18.847248,24.338068,25.901812,27.44511,19.464506,409.163879,1.927309,2.429405,2.906207,2.768671,2.370638,2.550292,2.481843,2.093897,2.171135,2.180049,2.093537,2.233543,6.77229e-05
"3155",12.475278,41.893889,43.8328259064489,36.1872021783526,49.1393034825871,45.5285326086956,43.8014595432489,4.382011,100.880463,71.427917,87.323929,100.544708,32.656185,0,0,0,45625,0,98125,0,0,25349.398438,213506.546875,656983,0,0,0,0,0,11586.435547,0,0,4991.081543,0,0,43279.574219,366.812469,110426.492188,1715.687378,0,40495.195312,560.671509,65.037102,394120.3125,3518.036133,993326.625,10010.644531,205.007812,16.648354,11.763465,7.897834,5.471611,10.147608,11.897429,13.974874,18.87607,24.256929,25.861916,27.302883,19.669109,431.80365,2.031602,2.602411,3.131045,2.965657,2.528147,2.695917,2.593185,2.191221,2.26082,2.288529,2.179126,2.361541,7.87005e-05
"3156",12.486621,50.720405,29.6753942254304,19.6466394557823,23.0285611164582,18.586130952381,25.1264555983089,2.985958,16.715378,5.614328,10.059575,15.657324,271.698486,177500,0,0,2196875,3125,3571250,38750,0,7704.075684,41515.507812,65911.835938,0,0,0,998.870361,0,8068.692871,0,0,6392.810547,460.38681,50.038147,27250.941406,1743.846313,43539.140625,3145.620117,150.111832,25301.371094,315.343658,75.385818,160115.859375,2754.714844,316517.125,7421.283203,135.747086,11.115235,4.758882,1.853241,-3.264243,2.122725,6.433205,6.877389,13.956303,18.020773,18.402824,18.661449,12.843892,313.03064,3.528806,3.03311,3.606837,2.796746,3.045356,2.995697,2.697208,2.204672,2.632075,2.51046,2.395282,2.500948,4.89374e-05
"3157",12.493056,51.125,22.5676498335183,14.171074829932,18.1102180232558,14.3160714285714,19.1211443156349,2.978217,9.844909,1.231126,2.302922,8.716826,141.69809,1875,0,0,494375,1875,775625,1875,0,4542.312988,10269.041992,15363.78418,0,0,0,14755.307617,0,23258.333984,0,0,3250.359131,202.950378,44.614883,12070.902344,586.325317,21061.884766,1305.242676,90.722961,20203.414062,217.639847,23.551861,63430.367188,1845.659912,120243.78125,5576.852051,39.217346,12.139866,5.794505,3.091381,-2.224569,3.045645,7.278913,7.957684,14.820531,19.150137,19.328522,19.544333,14.022733,390.141205,3.632289,3.12054,3.662217,2.688846,3.180764,2.998528,2.838015,2.30246,2.780936,2.502347,2.421726,2.549513,5.50969e-05
"3158",12.501871,45.950894,33.7897974838907,27.9291471698113,23.501392483056,24.6357013574661,29.3520442213507,3.703502,25.398659,6.288341,8.302258,22.143721,23.218927,0,0,0,398125,0,1446875,0,0,6276.827637,16445.580078,25242.453125,0,0,0,11441.664062,0,22374.789062,0,0,1987.359131,0,0,6658.22168,0,11072.485352,0,0,22116.167969,261.481567,40.183914,92303.820312,2554.825439,186657.609375,7028.313477,100.601151,13.144094,7.229338,2.672193,0.402856,5.416258,9.80648,11.869413,16.42992,21.57126,22.671373,23.600002,16.006618,334.606964,1.106424,1.23316,1.207115,1.169042,1.095663,1.295095,1.384525,1.232154,1.25537,1.212378,1.338937,1.410964,5.84462e-05
